Timestamp start: 1747232587461
Timestamp end: 1747234387749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      255.9   193.4    54.7    98.7   109.6   230.7   290.5   320.8   342.0   366.1   396.5   448.0   917.5  2586.1  4587.9  53913.6    54081
read      346.4   350.5    54.7   105.4   117.2   252.6   348.3   408.8   460.4   531.2   639.8   878.4  1782.0  3713.8  7532.6 112300.2   112478
read      276.5   189.2    59.1   119.6   134.6   233.5   295.7   333.4   361.3   395.4   444.3   543.5   922.1  2232.5  4002.0 179232.0   179666
read      218.8   157.7    54.7   100.2   109.4   188.1   247.4   278.1   298.6   321.2   349.2   394.5   558.7  1996.1  4830.6 100418.4   100584
read      223.3   150.6    54.7   102.7   112.6   187.2   242.7   276.1   299.7   326.2   359.7   416.2   711.2  1774.4  3449.3 127728.8   127920
read      184.9   169.5    59.1    94.1   106.8   171.7   193.9   206.0   215.0   226.5   242.4   274.5   467.3  1655.8  7942.0   6578.8     6594
read      226.4   145.0    59.1    98.1   109.8   214.1   250.6   269.6   283.5   299.8   322.4   364.5   818.2  1899.4  2694.5  24986.0    25020
read      311.9   340.0    54.7   106.3   117.4   214.1   292.3   342.3   384.8   450.6   573.8   830.8  1792.7  3411.3  7564.6 129479.2   129587
read      190.9   137.1    59.1   100.9   115.1   181.8   203.7   215.4   223.9   233.4   247.8   271.5   395.3  2279.4  4983.5  10298.8    10277
read      355.6   399.7    54.7   112.5   125.3   239.0   336.8   402.8   463.2   547.8   670.9   921.8  2061.5  4127.5  7822.3 148251.6   148458
read      234.1   183.2    59.1    99.6   109.0   210.8   264.6   290.3   308.4   329.3   356.8   401.3   769.6  2550.5  4020.9  66035.0    66114
read      256.4   220.8    54.7    99.4   110.3   230.6   286.6   315.5   335.6   358.6   387.7   435.6   978.0  2762.9  6373.7  49096.4    49261
read      327.1   375.0    54.7   108.7   119.8   217.9   299.2   352.5   399.2   473.8   609.8   902.2  1978.0  3822.9  7700.6 133116.6   133049
read      215.5   124.0    59.1   100.5   109.9   187.8   245.6   276.9   298.3   321.4   349.8   393.6   509.1  1268.8  3516.6 106670.6   106628
read      222.9   162.6    59.1   100.3   112.1   212.6   243.8   260.4   271.8   287.0   307.8   345.2   703.1  2345.5  4705.8  23477.6    23498
read      351.5   361.3    54.7   105.7   118.6   262.9   351.3   405.6   452.0   515.0   621.0   868.3  1942.7  3586.5  7675.2 103581.6   103564
read      239.7   149.6    54.7   110.9   123.1   204.6   256.5   290.9   315.8   344.3   382.2   450.6   742.4  1766.7  3342.9 161471.8   161774
read      236.6   140.8    54.7    98.9   110.2   225.8   270.6   293.9   310.8   330.2   355.0   394.6   602.6  1616.8  3442.2  39006.0    39037
read      426.1   455.4    59.1   117.3   130.2   273.0   426.3   524.4   604.3   709.3   865.1  1182.2  2373.0  4126.7  7854.9 163267.2   163622
read      240.8   168.1    59.1   106.8   118.1   203.3   258.0   291.6   315.8   344.3   383.3   460.8   826.8  2026.1  3943.0 132391.0   132405
read      228.6   170.8    59.1   103.4   113.4   188.4   242.8   276.5   300.7   328.0   363.1   428.7   842.8  2199.9  3758.2 131777.0   131596
read      263.6   185.7    59.1   116.7   130.9   221.9   279.8   316.2   342.9   375.2   421.5   513.6   875.5  2073.6  5156.9 174368.4   174543
read      227.1   187.7    59.1    99.2   108.5   194.9   252.8   281.9   302.0   325.1   354.9   401.9   675.8  2500.7  5170.2  90597.4    90567
