ubuntu@client-measure-rdtc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 --loadonly && ./mcperf -s 10.0.16.5 -a 10.0.16.3 --noload -T 8 -C 8 -D 4 -Q 1000 -c 8 -t 1800  --qps_interval 10 --qps_min 5000 --qps_max 180000 --qps_seed 2333
Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1747001616379
Timestamp end: 1747003416704

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      235.7   171.7    63.8    96.2   106.3   210.4   263.9   292.9   313.2   336.7   366.7   414.8   806.7  2200.4  3967.0  58854.1    58592
read      231.1   175.4    63.8   103.5   113.6   184.2   233.6   268.2   294.0   326.1   373.5   488.6   929.0  1934.7  3133.6 153052.3   153042
read      199.1   130.8    63.8    96.6   104.8   170.4   217.2   246.5   267.7   291.5   319.8   363.9   492.7  1745.2  3528.2 112559.4   112238
read      198.7    98.6    63.8   103.3   113.0   174.4   213.5   239.9   261.5   286.8   317.8   366.4   471.6   703.8  2775.4 160158.5   160265
read      193.6    75.5    63.8    99.0   107.9   190.6   228.9   245.8   257.0   269.3   284.3   305.9   347.8   432.9  2096.3  57151.6    57109
read      193.6    82.7    63.8    97.4   105.8   176.4   225.0   250.7   267.1   284.6   304.9   334.2   391.6   488.7  1355.8  88662.3    88551
read      172.6    58.2    68.9   122.8   133.7   169.5   182.7   190.0   195.8   201.7   211.6   226.1   265.2   676.3  2833.9   8433.2     8385
read      189.5    70.9    63.8   103.9   113.8   191.9   215.9   227.6   235.1   245.3   256.6   274.1   313.9   474.6  2139.9  33975.7    34088
read      188.3    85.0    63.8    96.7   104.7   166.3   211.3   239.0   259.0   280.0   304.5   338.5   404.1   515.0  1171.6 113495.1   113600
read      190.3    92.4    63.8    98.8   107.5   167.5   208.5   235.5   256.6   280.0   307.6   345.3   424.7   546.3  2671.8 131836.7   131842
read      191.8    88.3    63.8    97.7   106.1   169.9   215.2   243.1   263.1   284.5   309.3   343.8   414.8   533.9  2025.5 112170.6   112066
read      194.9    82.8    63.8    97.8   106.5   183.3   230.1   251.6   265.4   280.2   297.1   322.6   375.1   470.7  1948.5  72627.3    72585
read      192.0    87.6    63.8    99.7   108.7   169.2   210.3   237.3   258.8   282.6   310.7   350.5   430.6   545.8  1090.4 133464.3   133669
read      175.6    59.5    74.4   116.4   129.9   173.2   187.7   196.3   201.7   209.9   218.6   234.1   271.8   674.6  2172.5  11841.8    11820
read      177.6    49.0    68.9   116.5   130.3   176.1   191.3   199.5   205.7   213.3   222.8   236.7   273.2   657.7  1086.4  12687.7    12639
read      192.1    92.4    63.8    98.4   107.0   169.5   213.3   241.4   261.9   284.3   310.5   346.1   420.7   541.2  2225.5 118514.7   118548
read      205.4    96.7    63.8   106.1   116.5   181.4   221.6   249.0   270.5   295.7   328.1   377.9   489.7   654.4  2365.3 165893.1   165754
read      192.2    83.0    63.8    96.9   105.2   175.3   224.2   249.2   265.2   282.0   301.3   328.9   384.6   480.7  1428.2  86944.5    86823
read      181.7    58.4    68.9   112.3   125.9   181.4   198.0   207.1   213.6   221.0   231.2   247.5   283.4   658.5  1338.4  16932.2    16898
read      191.1    87.9    63.8    98.3   107.0   168.5   211.4   239.0   260.0   282.8   309.2   345.4   421.0   544.5  1984.1 122937.9   123124
read      194.1    79.1    63.8    97.5   106.2   182.8   229.0   250.6   264.6   279.4   296.4   321.1   372.4   455.6  1423.8  72258.3    72278
read      193.1    75.9    63.8   100.6   109.8   192.7   225.9   240.8   250.9   262.6   275.4   296.0   340.1   422.2  2202.3  47900.0    47757
read      194.1    78.6    63.8    98.7   107.7   188.7   229.2   247.1   259.0   271.6   287.7   310.8   357.0   439.0  2413.0  60452.3    60510
read      185.9    68.0    63.8   106.7   117.5   187.8   207.8   217.7   225.4   233.3   244.8   261.9   296.9   421.7  2146.7  25325.4    25237
read      190.9    86.2    63.8    96.6   104.8   171.2   218.7   245.8   263.7   282.4   304.0   334.6   395.5   507.3  2151.3  97863.2    97783
read      188.9    86.4    63.8    97.4   105.7   166.8   209.9   237.7   258.4   280.4   306.0   341.0   408.9   522.7  1375.3 118957.2   118966
read      179.5    54.4    68.9   111.9   124.9   179.3   195.7   204.2   210.9   217.6   228.3   243.9   278.7   645.5  1759.8  16709.8    16631
read      173.8    58.4    68.9   115.7   129.2   171.7   185.7   193.9   199.4   206.6   215.8   231.0   266.4   674.3  2786.8  11786.8    11743
read      191.0    93.0    63.8    97.7   106.2   168.8   213.2   241.1   261.5   283.0   308.0   342.2   410.3   530.0  2547.0 114976.0   115026
read      189.7    87.3    63.8    97.8   106.2   167.2   210.3   237.9   258.8   281.2   307.3   342.9   414.6   531.3  1344.5 122525.5   122371
read      169.4    60.8    74.4   120.9   131.2   165.7   178.6   185.5   191.2   197.8   206.4   219.7   260.8   688.7  3051.0   7270.2     7198
read      187.4    54.9    68.9   107.2   118.6   189.8   209.9   219.9   227.5   235.0   247.0   264.1   298.6   440.2   979.2  25107.4    25022
read      200.7    94.8    63.8   103.8   113.8   177.1   217.0   244.3   265.7   290.6   321.0   369.0   468.9   635.3  1890.7 157462.9   157513
read      213.8   107.4    63.8   108.0   119.1   187.6   230.7   259.8   281.9   308.6   342.9   398.8   524.3   721.7  2873.3 171852.1   171975
read      200.4    89.8    68.9   103.8   113.7   177.3   217.1   244.3   265.7   290.5   320.7   367.5   464.5   614.7  1577.0 154990.5   154918
read      192.7    87.0    63.8   100.2   109.4   169.9   210.3   236.9   258.3   282.4   311.2   351.9   434.1   555.5  1759.2 139145.9   139185
read      198.2    92.6    63.8   102.9   112.6   174.6   214.5   241.3   263.0   288.0   318.2   364.5   460.9   608.5  1906.5 152639.3   152724
read      183.9    55.0    68.9   110.1   122.1   185.0   202.8   212.6   218.7   227.5   236.4   253.3   290.8   532.5  1462.9  20853.7    20845
read      192.6    91.1    63.8   100.2   109.4   169.5   209.7   236.5   258.0   282.2   311.1   352.1   434.8   568.8  2430.8 140253.3   140348
