Timestamp start: 1747094973162
Timestamp end: 1747096773491

##type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      245.6   250.9    63.8    99.5   112.7   223.7   274.3   301.6   321.4   347.1   377.6   423.9   622.1  2587.2 10961.6  40633.5    40636
read      253.9   224.0    63.8    98.9   109.7   208.7   269.6   305.4   333.8   368.5   409.9   483.8  1218.8  2713.7  4371.6  80632.2    80574
read      266.8   231.5    63.8   114.7   128.5   215.0   270.4   307.9   337.6   374.9   428.5   538.0  1031.2  3087.7  5298.6 168899.7   168820
read      244.1   172.8    63.8   112.2   125.1   205.7   256.8   291.3   317.8   351.3   396.1   474.4   762.0  1704.0  4366.7 162535.3   162621
read      221.8   151.7    63.8   100.7   110.7   191.5   245.5   276.2   297.7   323.1   359.9   417.4   611.8  1438.7  3697.4 101677.5   101621
read      252.2   193.0    63.8    98.5   109.8   220.1   277.8   310.2   335.5   366.0   401.0   459.6   927.5  2490.7  3573.6  58583.7    58592
read      280.9   305.6    63.8   110.5   122.6   209.4   269.1   308.9   340.9   383.7   448.6   616.7  1535.7  3463.9  7618.5 152812.7   153042
read      212.4   128.6    63.8    99.8   109.6   183.9   234.7   265.9   287.7   312.2   344.7   397.0   521.4  1427.6  3556.5 112055.5   112238
read      241.1   169.1    68.9   111.2   123.4   201.9   252.3   286.6   313.4   347.0   393.0   470.2   767.7  1712.3  4552.3 160356.3   160265
read      237.4   213.2    63.8   100.1   110.8   211.4   262.5   288.8   307.4   330.3   363.2   413.0   680.8  3019.8  6454.2  57260.6    57109
read      218.3   122.1    63.8    98.3   108.8   197.0   251.9   280.5   300.3   322.4   355.1   400.9   496.4   750.2  2778.8  88582.0    88551
read      188.5   241.1    68.9   117.6   128.2   174.3   195.6   208.5   217.8   230.0   245.6   269.9   339.0   916.1 11447.2   8356.3     8385
read      217.3   148.9    63.8   102.9   115.3   212.1   249.5   268.4   281.7   296.7   316.7   352.1   426.0   567.8  9691.6  34130.4    34088
read      208.1   101.3    63.8   100.2   110.2   183.7   233.8   264.4   285.5   308.9   339.1   385.8   471.0   662.4  2469.9 113601.6   113600
read      205.5   108.5    63.8   102.1   112.0   180.6   226.4   255.9   277.5   302.7   334.0   382.0   469.5   649.9  1970.8 131811.8   131842
read      203.9   103.6    63.8    99.3   109.2   180.3   229.5   259.2   279.4   302.0   329.8   373.3   458.3   620.8  2184.6 112025.9   112066
read      208.8    88.4    63.8    99.2   109.5   194.8   245.5   269.6   285.7   303.4   324.4   362.0   432.4   538.1  1338.8  72614.3    72585
read      206.1   100.0    63.8   103.1   113.3   181.8   226.5   255.8   277.7   303.1   334.4   382.9   469.3   625.0  1834.9 133651.8   133669
read      195.2   205.6    63.8   116.8   129.4   184.6   208.7   222.5   232.2   244.3   259.4   284.3   344.6   581.7 11544.7  11806.6    11820
read      190.5    61.3    63.8   113.6   125.7   184.7   209.2   223.0   232.8   245.0   260.3   284.8   341.8   474.0  1604.5  12619.4    12639
read      215.4   107.3    59.1   101.9   112.3   189.8   241.3   272.1   293.9   318.3   352.1   403.7   512.2   727.8  1598.9 118549.3   118548
read      228.0   111.9    63.8   112.1   124.7   201.1   247.4   277.6   301.5   331.0   369.2   425.7   553.6   809.1  2140.5 165915.1   165754
read      205.9    95.1    63.8    98.4   108.3   186.9   239.1   266.0   283.4   302.6   326.0   365.8   438.7   564.0  2472.3  86839.5    86823
read      199.7    69.6    68.9   112.4   126.1   194.9   221.8   235.8   247.1   259.5   274.7   300.6   362.6   465.6  1763.1  16879.4    16898
read      220.1   116.3    63.8   102.0   112.6   191.9   244.5   275.9   298.6   325.2   363.0   420.4   561.5   888.1  2135.4 123106.8   123124
read      207.4    92.8    63.8    98.6   109.0   193.2   243.9   267.8   283.6   301.0   321.2   357.7   428.6   540.4  1364.5  72330.4    72278
read      221.8    94.3    59.1   100.9   112.8   213.6   260.7   283.4   298.7   316.2   340.6   378.2   447.1   551.0  1503.0  47755.7    47757
read      223.3   104.2    63.8    98.0   109.4   210.3   262.8   288.9   306.7   326.9   355.1   395.1   464.7   589.8  2465.1  60425.7    60510
read      213.5    81.1    63.8   107.7   122.0   209.3   243.1   260.6   272.5   287.2   305.5   335.0   401.0   517.1  1723.8  25213.1    25237
read      217.0   113.4    63.8    99.8   110.3   193.2   247.0   275.9   295.8   318.3   348.8   399.0   510.8  1092.3  2519.5  97824.6    97783
read      202.5    96.9    63.8    99.9   109.9   179.5   226.2   255.5   276.1   299.5   327.4   371.0   453.8   588.6  1710.1 118839.3   118966
read      202.4    91.5    63.8   113.6   128.3   196.8   224.8   239.8   250.7   263.5   279.0   305.0   366.7   467.2  2172.9  16658.7    16631
read      192.1    64.5    68.9   116.8   129.5   185.3   209.3   223.2   233.0   245.5   261.4   286.7   344.6   464.2  2342.2  11762.8    11743
read      210.2   153.0    63.8   100.6   110.9   185.1   234.4   264.7   285.5   308.9   338.0   386.2   482.6   685.6  7944.7 114935.1   115026
read      202.8    93.0    63.8   100.6   110.5   180.0   226.3   255.8   276.4   299.7   327.7   370.4   454.7   578.5  1423.7 122273.4   122371
read      180.2    64.7    74.4   117.9   128.0   172.4   192.6   204.4   214.1   225.7   240.5   264.7   319.8   525.3  2028.3   7226.3     7198
read      212.9    85.6    63.8   107.9   121.8   208.2   241.4   259.0   270.9   285.6   303.9   334.2   405.0   570.7  2015.2  25003.6    25022
read      269.1   184.9    63.8   112.1   125.2   215.6   277.7   319.9   354.9   399.6   467.8   612.4   966.2  1501.1  3505.6 157680.5   157513
read      242.2   120.7    63.8   116.6   130.6   213.3   262.3   294.3   319.3   350.9   392.5   456.9   619.6   942.9  2094.0 171925.9   171975
read      222.8   115.2    63.8   110.0   121.8   196.6   241.5   271.4   294.1   321.3   358.8   414.7   542.8   857.3  2827.5 154923.3   154918
read      207.7    95.8    63.8   103.8   114.4   184.1   228.3   257.2   278.8   304.2   335.4   383.8   471.7   635.1  1444.6 139106.4   139185
read      217.7   105.1    63.8   108.8   120.2   193.0   236.7   266.8   289.4   316.2   351.0   403.6   507.5   691.3  1799.3 152682.6   152724
read      213.5    75.0    63.8   113.1   127.8   208.6   240.0   256.6   268.4   282.2   299.8   328.2   400.4   519.9  1239.7  20844.2    20845
read      280.2   206.4    63.8   107.7   119.7   213.1   284.8   333.5   375.0   433.5   531.1   699.5  1047.8  1581.0  3200.7 140053.2   140348
read      208.5    97.3    63.8    99.3   109.7   189.4   241.0   268.4   286.4   306.5   331.2   369.5   448.5   581.7  2361.0  88680.4    88725
read      211.1   118.9    63.8   104.1   114.9   186.9   232.6   262.3   283.8   308.8   339.4   388.4   482.5   662.7  2468.8 134082.9   134088
read      213.2    89.7    63.8   101.6   112.5   201.4   250.1   273.1   288.7   306.2   327.4   361.9   435.1   549.4  1294.2  66170.2    66126
read      209.5    90.8    63.8    99.7   110.2   193.8   244.4   269.9   286.7   305.3   327.8   363.7   436.6   549.3  1689.9  78378.1    78214
read      227.2   143.0    63.8   100.8   112.8   215.1   265.8   290.6   307.9   327.4   352.4   395.3   469.0   612.5  4322.6  55147.7    55191
read      230.7   105.4    63.8   101.5   113.8   218.6   270.1   295.6   313.6   334.2   362.2   404.5   486.9   637.4  1694.7  53985.6    54081
read      214.3   101.7    63.8   101.4   111.8   190.1   241.5   272.1   293.2   316.9   346.2   398.3   500.9   711.1  1690.1 112411.6   112478
read      264.5   136.3    68.9   122.4   138.5   232.8   287.6   321.9   349.4   384.0   429.4   505.0   699.0  1081.7  2135.2 179739.7   179666
read      207.3    93.8    63.8    99.6   109.9   185.9   236.5   266.0   285.5   307.1   333.1   373.1   455.9   590.9  1796.5 100561.9   100584
read      208.0   101.5    63.8   102.6   113.0   184.5   230.7   260.7   282.0   306.1   335.6   382.1   468.5   610.6  1962.7 127844.8   127920
read      189.9   193.9    74.4   121.6   132.0   178.7   199.3   211.9   221.0   232.6   248.5   272.4   327.5   717.4 10640.5   6637.9     6594
read      221.4    82.9    63.8   110.9   126.3   217.1   251.8   270.0   282.9   297.1   316.7   344.9   418.8   527.3  1754.0  24944.3    25020
